2082	1253	711	9.21954445729289	
2083	1238	703	17	
2084	1237	703	1	
2085	1259	710	23.0867927612304	
2086	1262	715	5.8309518948453	
2087	1270	721	10	
2088	1280	720	10.0498756211209	
2089	1269	710	14.8660687473185	
2090	1268	714	4.12310562561766	
2091	1268	718	4	
2092	1279	721	11.4017542509914	
2093	1277	734	13.1529464379659	
2094	1296	746	22.4722050542442	
2095	1312	735	19.4164878389476	
2096	1282	720	33.5410196624968	
2097	1279	718	3.60555127546399	
2098	1279	720	2	
2099	1280	720	1	
2100	1280	720	0	
2101	1280	720	0	
2102	1280	720	0	
2103	1285	723	5.8309518948453	
2104	1303	733	20.591260281974	
2105	1280	720	26.4196896272458	
2106	1280	720	0	
2107	1280	720	0	
2108	1280	720	0	
2109	1280	720	0	
2110	1280	720	0	
2111	1280	720	0	
2112	1280	720	0	
2113	1279	720	1	
2114	1280	720	1	
2115	1277	716	5	
2116	1271	711	7.81024967590665	
2117	1243	708	28.1602556806574	
2118	1218	712	25.3179778023443	
2119	1247	719	29.8328677803526	
2120	1254	723	8.06225774829855	
2121	1278	721	24.0831891575846	
2122	1270	723	8.24621125123532	
2123	1292	732	23.7697286480094	
2124	1280	720	16.9705627484771	
2125	1280	720	0	
2126	1280	720	0	
2127	1280	720	0	
2128	1280	720	0	
2129	1276	720	4	
2130	1277	718	2.23606797749979	
2131	1280	720	3.60555127546399	
2132	1280	720	0	
2133	1280	720	0	
2134	1280	720	0	
2135	1272	713	10.6301458127347	
2136	1269	710	4.24264068711928	
2137	1278	713	9.48683298050514	
2138	1279	719	6.08276253029822	
2139	1280	727	8.06225774829855	
2140	1285	733	7.81024967590665	
2141	1285	724	9	
2142	1280	720	6.40312423743285	
2143	1280	720	0	
2144	1272	720	8	
2145	1272	721	1	
2146	1280	720	8.06225774829855	
2147	1270	723	10.4403065089106	
2148	1280	721	10.1980390271856	
2149	1280	720	1	
2150	1306	740	32.8024389337135	
2151	1280	720	32.8024389337135	
2152	1280	720	0	
2153	1280	720	0	
2154	1280	720	0	
2155	1280	720	0	
2156	1280	720	0	
2157	1260	716	20.3960780543711	
2158	1268	718	8.24621125123532	
2159	1283	720	15.1327459504216	
2160	1294	719	11.0453610171873	
2161	1280	720	14.0356688476182	
2162	1276	718	4.47213595499958	
2163	1288	719	12.0415945787923	
2164	1306	717	18.1107702762748	
2165	1296	717	10	
2166	1324	705	30.4630924234556	
2167	1280	720	46.4865571966778	
2168	1294	712	16.1245154965971	
2169	1290	722	10.770329614269	
2170	1292	723	2.23606797749979	
2171	1285	722	7.07106781186548	
2172	1281	721	4.12310562561766	
2173	1280	720	1.4142135623731	
2174	1279	719	1.4142135623731	
2175	1279	719	0	
2176	1271	713	10	
2177	1279	719	10	
2178	1279	719	0	
2179	1277	718	2.23606797749979	
2180	1278	715	3.16227766016838	
2181	1279	718	3.16227766016838	
2182	1273	716	6.32455532033676	
2183	1280	720	8.06225774829855	
2184	1279	719	1.4142135623731	
2185	1280	719	1	
2186	1280	720	1	
2187	1280	720	0	
2188	1270	728	12.8062484748657	
